Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
85,-8.0,4,36
90,-8.0,4,36
95,-8.0,4,36
100,-8.0,4,36
105,-8.0,4,36
110,-8.0,4,36
115,-8.0,4,37
120,-8.0,4,36
125,-8.0,4,36
130,-8.0,4,36
135,-8.0,4,36
140,-8.0,4,36
145,-8.0,4,36
150,-8.0,4,37
155,-8.0,4,37
160,-8.0,4,37
165,-8.0,4,36
170,-8.0,4,37
175,-8.0,4,37
180,-8.0,4,36
185,-8.0,4,36
190,-8.0,4,36
195,-8.0,4,36
200,-8.0,4,36
205,-8.0,4,36
210,-8.0,4,36
215,-8.0,4,37
220,-8.0,4,36
225,-8.0,4,36
230,-8.0,4,36
235,-8.0,4,36
240,-8.0,4,36
245,-8.0,4,36
250,-8.0,4,36
255,-8.0,4,36
260,-8.0,4,36
265,-8.0,4,36
270,-8.0,4,36
275,-8.0,4,36
280,-8.0,4,36
285,-8.0,4,36
290,-8.0,4,36
295,-8.0,4,36
300,-8.0,4,36
0,-9.0,1,33
6,-9.0,1,33
12,-9.0,1,33
18,-9.0,1,34
24,-9.0,1,34
30,-9.0,1,34
36,-9.0,1,34
42,-9.0,1,34
48,-9.0,1,34
54,-9.0,1,34
60,-9.0,1,34
66,-9.0,1,34
72,-9.0,1,35
78,-9.0,1,35
84,-9.0,1,35
90,-9.0,1,35
96,-9.0,1,35
102,-9.0,1,35
108,-9.0,1,35
114,-9.0,1,35
120,-9.0,1,35
126,-9.0,1,35
132,-9.0,1,35
138,-9.0,1,35
144,-9.0,1,35
150,-9.0,1,35
156,-9.0,1,35
162,-9.0,1,35
168,-9.0,1,35
174,-9.0,1,35
180,-9.0,1,36
186,-9.0,1,35
192,-9.0,1,35
198,-9.0,1,35
204,-9.0,1,35
210,-9.0,1,35
216,-9.0,1,35
222,-9.0,1,35
228,-9.0,1,35
234,-9.0,1,35
240,-9.0,1,35
246,-9.0,1,35
252,-9.0,1,35
258,-9.0,1,35
264,-9.0,1,35
270,-9.0,1,35
276,-9.0,1,35
282,-9.0,1,35
288,-9.0,1,35
294,-9.0,1,35
300,-9.0,1,35
0,-9.0,2,32
5,-9.0,2,33
10,-9.0,2,33
15,-9.0,2,33
20,-9.0,2,33
25,-9.0,2,33
30,-9.0,2,33
35,-9.0,2,33
40,-9.0,2,33
45,-9.0,2,34
50,-9.0,2,34
55,-9.0,2,34
60,-9.0,2,34
65,-9.0,2,34
70,-9.0,2,34
75,-9.0,2,34
80,-9.0,2,34
85,-9.0,2,34
90,-9.0,2,34
95,-9.0,2,35
100,-9.0,2,35
105,-9.0,2,35
110,-9.0,2,35
115,-9.0,2,35
120,-9.0,2,35
125,-9.0,2,34
130,-9.0,2,35
135,-9.0,2,35
140,-9.0,2,35
145,-9.0,2,35
150,-9.0,2,34
155,-9.0,2,35
160,-9.0,2,35
165,-9.0,2,35
170,-9.0,2,35
175,-9.0,2,35
180,-9.0,2,34
185,-9.0,2,35
190,-9.0,2,35
195,-9.0,2,35
200,-9.0,2,35
205,-9.0,2,35
210,-9.0,2,35
215,-9.0,2,35
220,-9.0,2,35
225,-9.0,2,35
230,-9.0,2,34
235,-9.0,2,35
240,-9.0,2,35
245,-9.0,2,35
250,-9.0,2,35
255,-9.0,2,34
260,-9.0,2,35
265,-9.0,2,35
270,-9.0,2,34
275,-9.0,2,35
280,-9.0,2,34
285,-9.0,2,34
290,-9.0,2,34
295,-9.0,2,34
300,-9.0,2,34
0,-9.0,3,33
5,-9.0,3,33
10,-9.0,3,33
15,-9.0,3,34
20,-9.0,3,33
25,-9.0,3,33
30,-9.0,3,34
35,-9.0,3,33
40,-9.0,3,34
45,-9.0,3,34
50,-9.0,3,34
55,-9.0,3,34
60,-9.0,3,34
65,-9.0,3,34
70,-9.0,3,34
75,-9.0,3,34
80,-9.0,3,34
85,-9.0,3,34
90,-9.0,3,35
95,-9.0,3,34
100,-9.0,3,34
105,-9.0,3,35
110,-9.0,3,35
115,-9.0,3,35
120,-9.0,3,35
125,-9.0,3,35
130,-9.0,3,35
135,-9.0,3,35
140,-9.0,3,35
145,-9.0,3,35
150,-9.0,3,35
155,-9.0,3,35
160,-9.0,3,35
165,-9.0,3,35
170,-9.0,3,35
175,-9.0,3,35
180,-9.0,3,35
185,-9.0,3,35
190,-9.0,3,35
195,-9.0,3,35
200,-9.0,3,35
205,-9.0,3,35
210,-9.0,3,35
215,-9.0,3,35
220,-9.0,3,35
225,-9.0,3,35
230,-9.0,3,35
235,-9.0,3,35
240,-9.0,3,35
245,-9.0,3,35
250,-9.0,3,34
255,-9.0,3,35
260,-9.0,3,34
265,-9.0,3,35
270,-9.0,3,34
275,-9.0,3,35
280,-9.0,3,35
285,-9.0,3,35
290,-9.0,3,35
295,-9.0,3,34
300,-9.0,3,35
0,-9.0,4,33
5,-9.0,4,33
10,-9.0,4,34
15,-9.0,4,33
20,-9.0,4,34
25,-9.0,4,34
30,-9.0,4,34
35,-9.0,4,34
40,-9.0,4,34
45,-9.0,4,34
50,-9.0,4,34
55,-9.0,4,34
60,-9.0,4,34
65,-9.0,4,35
70,-9.0,4,34
75,-9.0,4,34
80,-9.0,4,35
85,-9.0,4,34
90,-9.0,4,35
95,-9.0,4,35
100,-9.0,4,35
105,-9.0,4,35
110,-9.0,4,35
115,-9.0,4,35
120,-9.0,4,35
125,-9.0,4,35
130,-9.0,4,35
135,-9.0,4,35
140,-9.0,4,35
145,-9.0,4,35
150,-9.0,4,35
155,-9.0,4,35
160,-9.0,4,35
165,-9.0,4,35
170,-9.0,4,35
175,-9.0,4,35
180,-9.0,4,35
185,-9.0,4,35
190,-9.0,4,36
195,-9.0,4,35
200,-9.0,4,35
205,-9.0,4,35
210,-9.0,4,35
215,-9.0,4,35
220,-9.0,4,36
225,-9.0,4,35
230,-9.0,4,35
235,-9.0,4,35
240,-9.0,4,35
245,-9.0,4,35
250,-9.0,4,35
255,-9.0,4,35
260,-9.0,4,35
265,-9.0,4,35
270,-9.0,4,35
275,-9.0,4,35
280,-9.0,4,35
285,-9.0,4,35
290,-9.0,4,35
295,-9.0,4,35
300,-9.0,4,35
0,-10.0,1,33
6,-10.0,1,33
12,-10.0,1,33
18,-10.0,1,33
24,-10.0,1,33
30,-10.0,1,33
36,-10.0,1,33
42,-10.0,1,33
48,-10.0,1,34
54,-10.0,1,34
60,-10.0,1,34
66,-10.0,1,34
72,-10.0,1,34
78,-10.0,1,34
84,-10.0,1,34
90,-10.0,1,34
96,-10.0,1,34
102,-10.0,1,34
108,-10.0,1,34
114,-10.0,1,34
120,-10.0,1,34
126,-10.0,1,34
132,-10.0,1,34
138,-10.0,1,34
144,-10.0,1,35
150,-10.0,1,34
156,-10.0,1,34
162,-10.0,1,34
168,-10.0,1,35
174,-10.0,1,35
180,-10.0,1,34
186,-10.0,1,35
192,-10.0,1,34
198,-10.0,1,34
204,-10.0,1,34
210,-10.0,1,34
216,-10.0,1,35
222,-10.0,1,34
228,-10.0,1,34
234,-10.0,1,34
240,-10.0,1,34
246,-10.0,1,34
252,-10.0,1,35
258,-10.0,1,34
264,-10.0,1,34
270,-10.0,1,34
276,-10.0,1,35
282,-10.0,1,34
288,-10.0,1,34
294,-10.0,1,34
300,-10.0,1,35
0,-10.0,2,32
5,-10.0,2,33
10,-10.0,2,33
15,-10.0,2,33
20,-10.0,2,34
25,-10.0,2,34
30,-10.0,2,33
35,-10.0,2,33
40,-10.0,2,33
45,-10.0,2,33
50,-10.0,2,34
55,-10.0,2,33
60,-10.0,2,34
65,-10.0,2,33
70,-10.0,2,34
75,-10.0,2,34
80,-10.0,2,34
85,-10.0,2,34
90,-10.0,2,34
95,-10.0,2,34
100,-10.0,2,34
105,-10.0,2,34
110,-10.0,2,34
115,-10.0,2,34
120,-10.0,2,34
125,-10.0,2,34
130,-10.0,2,34
135,-10.0,2,34
